,source,itemID,itemLink,title,price,totalComment,score,good,normal,bad,itemDetail,shopId,shopUrl
10,taobao,520347883076,https://item.taobao.com/item.htm?id=520347883076,高清1080P后视镜单镜头迷你车载夜视一体机汽车行车记录仪双镜头,122.00 - 304.00,1287,,1240.0,17.0,30.0,CCC证书编号:?主镜头光圈:?F2.0品牌:?鹏之浩型号:?Y806套餐:?套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?后视镜影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?500万画面视角:?170°运行内存:?无镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?2.7英寸功能:?循环录像 移动侦测 停车监控 碰撞感应,72578481,shop72578481.taobao.com/
11,taobao,573585030282,https://item.taobao.com/item.htm?id=573585030282,迪斯玛汽车货车行车记录仪双镜头高清测速电子狗一体机停车监控,139.00 - 655.00,283,,283.0,0.0,0.0,主镜头光圈:?F2.5品牌:?迪斯玛型号:?JD-001套餐:?官方标配安装类型:?后视镜影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?单镜头+无卡 单镜头+16G 单镜头+32G 双镜头+无卡 双镜头+16G 双镜头+32G 单镜头+电子狗+16G 单镜头+电子狗+32G 双镜头+电子狗+16G 双镜头+电子狗+32G 双镜头+电子狗+导航+32G屏幕尺寸:?5英寸功能:?夜视加强 夜视补光 循环录像 倒车影像 停车监控 固定测速 流动测速 前后录像 前后双镜头,70126748,ayuego.taobao.com/
12,taobao,573481101871,https://item.taobao.com/item.htm?id=573481101871,任E行F8行车记录仪高清夜视双镜头隐藏式全景24小时停车监控WiFi,900.00 - 1350.00,258,,258.0,0.0,0.0,CCC证书编号:?产品名称:?任E行 F8主镜头光圈:?F2.0品牌:?任E行型号:?F8套餐:?官方标配 套餐一 套餐二 套餐三 套餐四安装类型:?迷你机影像分辨率:?2160p拍照像素:?1200万摄像像素:?500万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?单镜头 wifi版 双镜头 wifi版屏幕尺寸:?4.3英寸功能:?夜视加强 循环录像 微光夜视加强 移动侦测 WIFI 停车监控 碰撞感应 前后录像 前后双镜头,33012134,rexzy.taobao.com/
13,taobao,573972480638,https://item.taobao.com/item.htm?id=573972480638,24小时行车记录仪双镜头高清监控全景夜视360度倒车影像一体机,276.00 - 816.00,291,,291.0,0.0,0.0,主镜头光圈:?F2.0品牌:?度牌型号:?26889套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七安装类型:?后视镜影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?1GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?7英寸功能:?夜视加强 循环录像 移动侦测 倒车影像 停车监控 前车碰撞预警 固定测速 流动测速 碰撞感应 前后录像 前后双镜头,194047818,shop194047818.taobao.com/
14,taobao,566147524797,https://item.taobao.com/item.htm?id=566147524797,新款汽车载行车记录仪单双镜头高清夜视360度全景无线24小时监控,156.00 - 636.00,30080,,30045.0,19.0,16.0,CCC证书编号:?产品名称:?宏曼 HM020主镜头光圈:?F2.0品牌:?宏曼型号:?HM020套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?后视镜影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?500万画面视角:?170°运行内存:?1GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?4.3英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 画面畸形修正 移动侦测 GPS定位 倒车影像 停车监控 固定测速 流动测速 碰撞感应 前后录像 前后双镜头,106178342,shop106178342.taobao.com/
15,taobao,553684920820,https://item.taobao.com/item.htm?id=553684920820,高清1080P汽车车载隐藏式行车记录仪单双镜头带测速电子狗一体机,46.00 - 278.00,2122,,2102.0,18.0,2.0,主镜头光圈:?F2.0品牌:?玖拓型号:?迷你隐藏式记录仪套餐:?官方标配 套餐一 套餐二 套餐三安装类型:?迷你机影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?140°运行内存:?1GB镜头数量:?双镜头颜色分类:?【高清款无狗】黑色●单镜头 【高清款无狗】蓝色●单镜头 【超高清款无狗】黑色●单镜头 【超高清款无狗】蓝色●单镜头 【星光夜视款无狗】黑色●单镜头 【星光夜视款无狗】蓝色●单镜头 【高清无电子狗】黑色●双镜头 【高清无电子狗】蓝色●双镜头 升级版【高清无电子狗】●单镜头 升级版【高清无电子狗】●双镜头 升级版【高清带电子狗】●单镜头 升级版【高清带电子狗】●双镜头 【车险/4S礼品款个人勿拍】→ 【普清车险礼品款】黑色●单镜头 【普清车险礼品款】蓝色●单镜头 【提示1】官方标配不带内存卡 【提示2】升级版是3M胶支架屏幕尺寸:?2.4英寸功能:?夜视加强 循环录像 倒车影像 停车监控 固定测速 流动测速 碰撞感应 前后录像 前后双镜头,102062707,shop102062707.taobao.com/
16,taobao,569518376281,https://item.taobao.com/item.htm?id=569518376281,1080P高清行车记录仪夜视广角单双镜头隐藏式倒车影像迷你一体机,185.00 - 288.00,343,,341.0,2.0,0.0,主镜头光圈:?F2.0品牌:?lit型号:?ys套餐:?套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七安装类型:?便携式吸盘影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?2.7英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 移动侦测 倒车影像 停车监控 前车碰撞预警 变道辅助 碰撞感应 前后录像 前后双镜头,108190104,shop108190104.taobao.com/
17,taobao,574074090664,https://item.taobao.com/item.htm?id=574074090664,保实安大货车行车记录仪24v高清夜视专用车载导航倒车影像一体机,716.00 - 1576.00,152,,152.0,0.0,0.0,"主镜头光圈:?F2.0品牌:?BO SHER/保实安型号:?T69套餐:?官方标配安装类型:?中控式影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?1.5GB镜头数量:?双镜头颜色分类:?小镜头+(无卡)+15米线 小镜头+16g+15米线 小镜头+32g+15米线 红外镜头+无卡+15米线 红外镜头+16g+15米线 红外镜头+32g+15米线 红外镜头+16g+35米线 红外镜头+32g+35米线 小镜头+无卡+15米线+电子狗 小镜头+16g+15米线+电子狗 小镜头+32g+15米线+电子狗 红外镜头+(无卡)+15米线+电子狗 红外镜头+16g+15米线+电子狗 红外镜头+32g+15米线+电子狗 红外镜头+16g+35米线+电子狗 红外镜头+32g+35米线+电子狗 小镜头+无卡+15米+电子狗+导航 小镜头+16g+15米+电子狗+导航 小镜头+32g+15米+电子狗+导航 红外镜头(无卡)15米+电子狗+导航 红外镜头+16g+15米+电子狗+导航 红外镜头+32g+15米+电子狗+导航 红外镜头+16g+35米+电子狗+导航 红外镜头+32g+35米+电子狗+导航屏幕尺寸:?7英寸功能:?夜视加强 夜视补光 循环录像 微信查车，智能声控，微信接人，违章查询，FM发射， 微光夜视加强 画面畸形修正 移动侦测 GPS定位 GPS导航 倒车影像 停车监控 固定测速 流动测速 碰撞感应 前后录像 前后双镜头 智能声控,微信接人,FM发射",36649595,357704206.taobao.com/
18,taobao,561869766169,https://item.taobao.com/item.htm?id=561869766169,新款超高清汽车行车记录仪单双镜头夜视全景广角迷你电子狗一体机,168.00 - 338.00,1307,,1305.0,2.0,0.0,CCC证书编号:?主镜头光圈:?F2.0品牌:?鑫诠型号:?G300套餐:?套餐一 套餐二 套餐三 套餐四安装类型:?迷你影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?1800万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?1黑色屏幕尺寸:?2.7英寸功能:?夜视加强 夜视补光 循环录像 移动侦测 倒车影像 停车监控 固定测速 流动测速 碰撞感应 前后录像 前后双镜头,68478131,henxin-sm.taobao.com/
19,taobao,567482957351,https://item.taobao.com/item.htm?id=567482957351,小米行车记录仪超高清夜视70迈智能声控单镜头1080P无线迷你一体,376.00 - 690.00,713,,711.0,1.0,1.0,"主镜头光圈:?F2.2品牌:?Xiaomi/小米型号:?Midrive D01套餐:?官方标配安装类型:?迷你机影像分辨率:?1080p拍照像素:?200万摄像像素:?200万画面视角:?130°运行内存:?512MB镜头数量:?单镜头颜色分类:?官方标配（无内存卡） 套餐一：标配+16G专用内存卡 套餐二：标配+32G专用内存卡 套餐三：标配+64G专用内存卡 套餐四：标配+降压线 套餐五：标配+16G卡+降压线 套餐六：标配+32G卡+降压线 套餐七: 标配+64G卡+降压线屏幕尺寸:?不带屏幕功能:?夜视加强 循环录像 画面畸形修正 WIFI 短视频分享 碰撞感应 智能声控,微信接人,FM发射",353993816,shop353993816.taobao.com/
20,taobao,571946780901,https://item.taobao.com/item.htm?id=571946780901,大众日产丰田本田现代别克荣威奔驰宝马奥迪斯柯达行车记录仪专用,556.00 - 1856.00,392,,391.0,1.0,0.0,CCC证书编号:?主镜头光圈:?F1.8品牌:?麦虫型号:?NB02-专车专用套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七安装类型:?专车专用影像分辨率:?1080p拍照像素:?1200万摄像像素:?213万画面视角:?156°运行内存:?2GB镜头数量:?单镜头颜色分类:?奔驰/宝马/奥迪 大众/别克/福特 日产/本田/丰田 现代/起亚/标志 路虎/捷豹/讴歌 马自达/MG/海马 吉利/长安/宝骏 五菱/奇瑞/江淮 东南/启辰/猎豹 哈弗/荣威/众泰 比亚迪//雪铁龙 斯柯达//雪佛兰 雷克萨斯/玛莎拉蒂 凯迪拉克/英菲尼迪 广汽传祺/北汽幻速 东风风行/东风风光 保时捷/Jeep/沃尔沃 更多车型请拍此套餐屏幕尺寸:?不带屏幕功能:?夜视加强 循环录像 微光夜视加强 画面畸形修正 移动侦测 WIFI 停车监控 短视频分享 碰撞感应 前后录像 前后双镜头,143429706,shop143429706.taobao.com/
21,taobao,567334843228,https://item.taobao.com/item.htm?id=567334843228,安卓大屏导航USB行车记录仪1080P星光高清夜视自带ADAS预警电子狗,89.00 - 258.00,417,,413.0,1.0,3.0,主镜头光圈:?F2.0品牌:?影优型号:?Y8套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?中控式影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?不带屏幕功能:?夜视加强 循环录像 画面畸形修正 移动侦测 WIFI 倒车影像 前车碰撞预警 前车起步提醒 前车车距侦测 变道辅助 固定测速 疲劳驾驶提醒 碰撞感应 行人防撞预警 轨道偏移预警 前后录像 前后双镜头,392222598,shop392222598.taobao.com/
22,taobao,569660711620,https://item.taobao.com/item.htm?id=569660711620,领克01行车记录仪原厂专用隐藏式高清夜视新款汽车车载监控电子狗,780.00 - 880.00,320,,319.0,1.0,0.0,CCC证书编号:?主镜头光圈:?F2.2品牌:?车可视型号:?领克行车记录仪套餐:?官方标配 套餐一 套餐二 套餐三安装类型:?专车专用影像分辨率:?1296P拍照像素:?1500万摄像像素:?1500万画面视角:?170°运行内存:?2GB镜头数量:?单镜头颜色分类:?黑色屏幕尺寸:?不带屏幕功能:?夜视加强 循环录像 WIFI 停车监控 碰撞感应,269433363,shop269433363.taobao.com/
23,taobao,573124175136,https://item.taobao.com/item.htm?id=573124175136,新款流媒体行车记录仪24小时专车专用全景汽车载智能后视镜一体机,2396.00 - 3338.00,439,,437.0,0.0,2.0,"CCC证书编号:?主镜头光圈:?F2.0品牌:?路探型号:?K930套餐:?官方标配 套餐一 套餐二 套餐三安装类型:?专车专用影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?16MB镜头数量:?双镜头颜色分类:?K920 K930屏幕尺寸:?9.88英寸功能:?夜视加强 夜视补光 循环录像 微信查车，智能声控，微信接人，违章查询，FM发射， 微光夜视加强 画面畸形修正 移动侦测 GPS定位 GPS导航 WIFI 上网 倒车影像 停车监控 前车碰撞预警 前车起步提醒 前车车距侦测 变道辅助 固定测速 流动测速 疲劳驾驶提醒 短视频分享 碰撞感应 蓝牙 行人防撞预警 轨道偏移预警 限速标志提醒 手势感应拍照 消除错误码 前后录像 前后双镜头 智能声控,微信接人,FM发射",72004096,shop72004096.taobao.com/
24,taobao,570460460638,https://item.taobao.com/item.htm?id=570460460638,新款凌度?行车记录仪流媒体后视镜无光夜视高清双镜头电子狗全景,349.00 - 539.00,474,,472.0,1.0,1.0,CCC证书编号:?主镜头光圈:?F2.0品牌:?凌度型号:?990套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?后视镜影像分辨率:?1296P拍照像素:?800万摄像像素:?1200万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?5英寸功能:?夜视加强 循环录像 微光夜视加强 移动侦测 倒车影像 停车监控 变道辅助 固定测速 流动测速 碰撞感应 前后录像 前后双镜头,62622212,guojidianzi.taobao.com/
25,taobao,566582867367,https://item.taobao.com/item.htm?id=566582867367,大小货车12V24V行车记录仪高清夜视双镜头前后双录倒车影像一体机,338.00 - 548.00,417,,414.0,1.0,2.0,CCC证书编号:?主镜头光圈:?F2.0品牌:?Weigav/为佳型号:?D700套餐:?套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?中控式影像分辨率:?1080p拍照像素:?1200万摄像像素:?800万画面视角:?170°运行内存:?3G镜头数量:?双镜头颜色分类:?货车升级款屏幕尺寸:?7英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 移动侦测 倒车影像 停车监控 碰撞感应 消除错误码 车牌水印 前后录像 前后双镜头,538835680,shop538835680.taobao.com/
26,taobao,543765804129,https://item.taobao.com/item.htm?id=543765804129,车载高清1080P后视镜汽车行车记录仪广角 循环录像 保险车险礼品,44.00 - 99.00,2597,,2594.0,2.0,1.0,主镜头光圈:?F2.0品牌:?中性型号:?606套餐:?官方标配 套餐一 套餐二 套餐三 套餐四安装类型:?后视镜影像分辨率:?1080p拍照像素:?1200万摄像像素:?300万画面视角:?120°运行内存:?2GB镜头数量:?单镜头颜色分类:?黑色 天蓝色 蓝色屏幕尺寸:?2.4英寸功能:?夜视补光 循环录像 停车监控,115439226,shop115439226.taobao.com/
27,taobao,526464949581,https://item.taobao.com/item.htm?id=526464949581,丰田18款八代凯美瑞雷凌皇冠卡罗拉荣放普拉多汉兰达行车记录仪,488.00 - 758.00,985,,982.0,1.0,2.0,CCC证书编号:?产品名称:?FiTCAM/智看 HD2主镜头光圈:?F1.6品牌:?FiTCAM/智看型号:?HD2套餐:?官方标配 套餐一 套餐二 套餐三安装类型:?专车专用影像分辨率:?1080p拍照像素:?1200万摄像像素:?200万画面视角:?170°运行内存:?2GB镜头数量:?单镜头颜色分类:?黑色屏幕尺寸:?不带屏幕功能:?循环录像 移动侦测 WIFI 停车监控 短视频分享 碰撞感应,145256403,shop145256403.taobao.com/
28,taobao,571602104591,https://item.taobao.com/item.htm?id=571602104591,新款10寸4G流媒体全屏高清夜视双镜头导航电子狗行车记录仪后视镜,379.00 - 1039.00,487,,485.0,2.0,0.0,"CCC证书编号:?主镜头光圈:?F2.0品牌:?Phisung/菲星型号:?E08套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?后视镜影像分辨率:?1296P拍照像素:?1800万摄像像素:?1600万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?9.88英寸功能:?夜视加强 夜视补光 循环录像 微信查车，智能声控，微信接人，违章查询，FM发射， 微光夜视加强 画面畸形修正 移动侦测 GPS定位 GPS导航 WIFI 上网 倒车影像 停车监控 前车碰撞预警 前车起步提醒 前车车距侦测 变道辅助 固定测速 开灯提醒 流动测速 疲劳驾驶提醒 短视频分享 碰撞感应 蓝牙 行人防撞预警 轨道偏移预警 限速标志提醒 手势感应拍照 消除错误码 车牌水印 前后录像 前后双镜头 智能声控,微信接人,FM发射",70249137,shop70249137.taobao.com/
29,taobao,566274693634,https://item.taobao.com/item.htm?id=566274693634,星光夜视高清usb行车记录仪安卓大屏导航专用记录仪摄像头ADAS,118.00 - 304.00,1314,,1308.0,4.0,2.0,主镜头光圈:?F1.8品牌:?烽途者型号:?F8套餐:?官方标配 套餐一 套餐二 套餐三安装类型:?迷你影像分辨率:?1080p拍照像素:?1200万摄像像素:?800万画面视角:?170°运行内存:?无镜头数量:?双镜头颜色分类:?请注意，原厂屏和普通导航不可用 星光夜视锌合金（推荐） 前后双录星光夜视锌合金 前右双录版 1080P星光夜视锌合金屏幕尺寸:?不带屏幕功能:?夜视加强 循环录像 微光夜视加强 倒车影像 前车碰撞预警 前车起步提醒 前车车距侦测 变道辅助 固定测速 轨道偏移预警 限速标志提醒 前后录像 前后双镜头,121622461,shop121622461.taobao.com/
30,taobao,560144994169,https://item.taobao.com/item.htm?id=560144994169,大小货车行车记录仪12v24v超高清夜视前后双镜头带倒车影像一体机,338.00 - 548.00,2788,,2785.0,3.0,0.0,CCC证书编号:?产品名称:?Weigav/为佳 U5S主镜头光圈:?F2.0品牌:?Weigav/为佳型号:?U5S套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?中控式影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?3G镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?7英寸功能:?夜视加强 循环录像 微光夜视加强 画面畸形修正 移动侦测 倒车影像 停车监控 碰撞感应 前后录像 前后双镜头,111758163,shop111758163.taobao.com/
31,taobao,568226390632,https://item.taobao.com/item.htm?id=568226390632,汽车行车记录仪单双镜头高清全景车载测速带电子狗倒车影像一体机,198.00 - 358.00,322,,322.0,0.0,0.0,CCC证书编号:?主镜头光圈:?F2.0品牌:?鑫诠型号:?T2套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七 套餐八安装类型:?后视镜影像分辨率:?1080p拍照像素:?1800万及以上摄像像素:?1800万画面视角:?170°运行内存:?2GB镜头数量:?双镜头颜色分类:?带电子狗 不带电子狗屏幕尺寸:?4.3英寸功能:?夜视加强 夜视补光 循环录像 移动侦测 GPS定位 倒车影像 停车监控 固定测速 流动测速 前后录像 前后双镜头,68478131,henxin-sm.taobao.com/
32,taobao,570931994258,https://item.taobao.com/item.htm?id=570931994258,红外夜视大小货车专用行车记录仪12v24v高清双镜头倒车影像一体机,308.00 - 418.00,140,,140.0,0.0,0.0,CCC证书编号:?产品名称:?Weigav/为佳 T69主镜头光圈:?F2.0品牌:?Weigav/为佳型号:?T69套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五安装类型:?中控式影像分辨率:?1080p拍照像素:?1200万摄像像素:?1200万画面视角:?170°运行内存:?3G镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?7英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 画面畸形修正 移动侦测 倒车影像 停车监控 碰撞感应 车牌水印 前后录像 前后双镜头,107392233,shop107392233.taobao.com/
33,taobao,572186286047,https://item.taobao.com/item.htm?id=572186286047,宝马行车记录仪专用1系3系5系7系X1X3X4X5X6双镜头高清夜视全景,1680.00,203,,203.0,0.0,0.0,CCC证书编号:?主镜头光圈:?F1.8品牌:?麦虫型号:?专车专用套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五 套餐六 套餐七安装类型:?专车专用影像分辨率:?1080p拍照像素:?1200万摄像像素:?213万画面视角:?156°运行内存:?2GB镜头数量:?单镜头颜色分类:?宝马原厂专用屏幕尺寸:?不带屏幕功能:?夜视加强 循环录像 微光夜视加强 画面畸形修正 移动侦测 WIFI 停车监控 短视频分享 碰撞感应 前后录像 前后双镜头,143429706,shop143429706.taobao.com/
34,taobao,574031720012,https://item.taobao.com/item.htm?id=574031720012,红外夜视大小客货车行车记录仪12v24v伏高清双镜头倒车影像一体机,716.00 - 936.00,43,,43.0,0.0,0.0,主镜头光圈:?F1.8品牌:?Weigav/为佳型号:?U2套餐:?官方标配 套餐一 套餐二 套餐三 套餐四 套餐五安装类型:?中控式影像分辨率:?1080p拍照像素:?1200万摄像像素:?500万画面视角:?170°运行内存:?1GB镜头数量:?双镜头颜色分类:?黑色屏幕尺寸:?7英寸功能:?夜视加强 夜视补光 循环录像 微光夜视加强 画面畸形修正 移动侦测 停车监控 碰撞感应 前后双镜头,118454761,shop118454761.taobao.com/
